Transaction ID,Date,Month,Quarter,Year,Region,Country,City,Business Unit,Department,Product Category,Product Name,Customer Segment,Sales Channel,Revenue,Cost of Goods Sold (COGS),Operating Expense,Marketing Expense,Discount,Tax,Profit,Profit Margin,Budget,Actual Sales
TXN-10001,2023-01-01,January,Q1,2023,North America,Canada,Toronto,Consumer Goods,Marketing,Software Services,CyberShield Security,Mid-Market,Partner Channel,41674.99,11569.83,6718.11,4064.2,5005.9,3025.09,16297.76,39.11,37828.5,41674.99
TXN-10002,2023-01-01,January,Q1,2023,Europe,UK,London,Enterprise Solutions,Customer Support,Cloud Infrastructure,Dedicated Cloud Compute,Enterprise,Reseller Network,29012.19,11548.17,2966.92,1455.99,3403.28,2563.04,10478.07,36.12,27759.25,29012.19
TXN-10003,2023-01-01,January,Q1,2023,North America,USA,San Francisco,Consumer Goods,Operations,Cloud Infrastructure,Object Storage Multi-Region,SMB,Reseller Network,12547.35,4814.23,1637.0,641.48,412.14,839.9,4614.74,36.78,11237.81,12547.35
TXN-10004,2023-01-01,January,Q1,2023,Europe,Netherlands,Amsterdam,Financial Services,Operations,Software Services,AI Analytics Platform,SMB ,Partner Channel,39738.5,8246.51,5468.4,2799.46,110.56,3967.83,19256.3,48.46,38305.74,39738.5
TXN-10005,2023-01-01,January,Q1,2023,North America,USA,New York,Financial Services,Marketing,Electronics,Wireless Headset Pro,,Reseller Network,7342.53,4829.93,845.91,724.28,296.5,208.11,734.3,10.0,8017.69,7342.53
TXN-10006,2023-01-01,January,Q1,2023,Middle East & Africa,Saudi Arabia,Riyadh,Enterprise Solutions,Engineering,Cloud Infrastructure,Dedicated Cloud Compute,Mid-Market,Online Store,54278.11,23165.93,7361.93,5607.96,810.03,3854.1,14288.19,26.32,56563.73,54278.11
TXN-10007,2023-01-01,January,Q1,2023,North America,USA,Chicago,Digital Services,Sales,Software Services,AI Analytics Platform,Enterprise,Direct Sales,35501.4,6692.8,5451.29,3393.33,423.97,3257.29,16706.69,47.06,36262.92,35501.4
TXN-10008,2023-01-01,January,Q1,2023,Asia Pacific,Japan,Tokyo,Enterprise Solutions,Operations,Software Services,SaaS ERP License,Consumer,Online Store,37699.93,8526.5,6013.17,4314.15,5032.75,3672.76,15173.35,40.25,35856.46,37699.93
TXN-10009,2023-01-01,January,Q1,2023,Europe,Germany,Frankfurt,Digital Services,Engineering,Hardware Systems,Edge Compute Node,SMB,Reseller Network,41096.5,20679.22,8359.56,2216.84,3833.58,994.73,8846.15,21.53,40105.32,41096.5
TXN-10010,2023-01-01,January,Q1,2023,Middle East & Africa,Saudi Arabia,Riyadh,Financial Services,Marketing,Hardware Systems,Server Rack X1,Enterprise,Direct Sales,57035.38,31970.98,10303.45,2427.97,1141.27,2194.03,10138.95,17.78,53098.17,57035.38
TXN-10011,2023-01-01,January,Q1,2023,Latin America,Mexico,Mexico City,Financial Services,Engineering,Electronics,Smart Hub Pro,Mid-Market,Partner Channel,3720.75,2432.17,696.27,242.44,462.62,83.13,266.74,7.17,3621.74,3720.75
TXN-10012,2023-01-01,January,Q1,2023,Europe,France,Paris,Financial Services,Operations,Software Services,Cloud Database Engine,Enterprise,Online Store,42729.37,11042.86,7808.23,5018.68,5120.3,2236.5,16623.1,38.9,41166.86,42729.37
TXN-10013,2023-01-01,January,Q1,2023,Middle East & Africa,South Africa,Johannesburg,Enterprise Solutions,Marketing,Software Services,Cloud Database Engine,Mid-Market,Reseller Network,17956.21,4078.09,3691.11,1228.59,294.29,1781.64,7176.78,39.97,17906.4,17956.21
TXN-10014,2023-01-01,January,Q1,2023,Europe,France,Paris,Digital Services,Marketing,Professional Consulting,24/7 Premium Support,Enterprise,Partner Channel,23086.41,10535.42,2699.43,2233.52,2959.33,1463.8,6154.24,26.66,20415.1,23086.41
TXN-10015,2023-01-02,January,Q1,2023,North America,USA,San Francisco,Consumer Goods,Sales,Software Services,AI Analytics Platform,Enterprise,Partner Channel,27220.36,6900.23,5895.06,1271.04,3679.75,1335.91,11818.12,43.42,26521.07,27220.36
TXN-10016,2023-01-02,January,Q1,2023,Latin America,Mexico,Mexico City,Digital Services,Operations,Cloud Infrastructure,Load Balancer Cluster,SMB,Direct Sales,50123.6,18655.57,7722.78,3704.73,3828.53,4143.67,15896.85,31.72,50703.48,50123.6
TXN-10017,2023-01-02,January,Q1,2023,Middle East & Africa,South Africa,Johannesburg,Digital Services,Sales,Cloud Infrastructure,Object Storage Multi-Region,SMB,Online Store,246885.70947894713,6866.73,3110.59,1279.76,985.59,1092.54,7233.32,36.94,17810.32,19582.94
TXN-10018,2023-01-02,January,Q1,2023,North America,USA,San Francisco,Financial Services,Engineering,Software Services,CyberShield Security,Mid-Market,Direct Sales,40520.35,10991.44,6583.07,3968.43,2226.56,1920.06,17057.35,42.1,44452.44,40520.35
TXN-10019,2023-01-02,January,Q1,2023,north america,USA,New York,Consumer Goods,Operations,Software Services,CyberShield Security,Enterprise,Direct Sales,40781.55,10491.7,7207.99,3796.82,2533.76,1949.39,17335.65,42.51,43565.54,40781.55
TXN-10020,2023-01-02,January,Q1,2023,Asia Pacific,Japan,Tokyo,Enterprise Solutions,Customer Support,Software Services,CyberShield Security,Enterprise ,Reseller Network,36879.51,8380.76,4266.52,2109.72,3630.21,2871.62,19250.89,52.2,39857.66,36879.51
TXN-10021,2023-01-02,January,Q1,2023,Middle East & Africa,Saudi Arabia,Riyadh,Digital Services,Customer Support,Cloud Infrastructure,Dedicated Cloud Compute,Enterprise,Direct Sales,9736.45,3484.26,2029.34,575.61,301.61,747.37,2899.87,29.78,8626.5,9736.45
TXN-10022,2023-01-02,January,Q1,2023,Asia Pacific,India,Mumbai,Consumer Goods,Marketing,Hardware Systems,Storage Array V2,Mid-Market,Direct Sales,14889.46,7578.53,1695.42,680.59,1698.64,721.91,4213.01,28.3,14328.04,14889.46
TXN-10023,2023-01-03,January,Q1,2023,Europe,Germany,Frankfurt,Financial Services,Marketing,Electronics,Wireless Headset Pro,SMB,Direct Sales,6459.31,4226.53,1129.31,507.29,388.2,197.1,399.08,6.18,6957.13,6459.31
TXN-10024,2023-01-03,January,Q1,2023,Europe,France,Paris,Consumer Goods,Marketing,Electronics,4K Display Monitor,Mid-Market,Partner Channel,5149.37,3052.88,750.53,412.34,734.67,210.25,723.37,14.05,5062.02,5149.37
TXN-10025,2023-01-03,January,Q1,2023,North America,USA,New York,Consumer Goods,Engineering,Software Services,CyberShield Security,Enterprise,Online Store,40672.2,11675.75,5120.35,1768.74,1863.26,3571.39,18535.97,45.57,45075.65,40672.2
TXN-10026,2023-01-03,January,Q1,2023,North America,USA,San Francisco,Enterprise Solutions,Customer Support,Electronics,Smart Hub Pro,Consumer,Online Store,6941.5,4021.16,790.65,599.03,379.3,187.48,1343.18,19.35,7586.2,6941.5
TXN-10027,2023-01-03,January,Q1,2023,North America,USA,San Francisco,Financial Services,Customer Support,Professional Consulting,Advisory Subscription,Enterprise,Partner Channel,6139.8,2867.52,1154.78,330.67,263.09,352.51,1434.32,23.36,6707.29,6139.8
TXN-10028,2023-01-03,January,Q1,2023,North America,USA,New York,Digital Services,Engineering,Professional Consulting,24/7 Premium Support,Consumer,Online Store,17979.6,9846.89,2999.62,1670.11,897.46,606.79,2856.19,15.89,18386.99,17979.6
TXN-10029,2023-01-03,January,Q1,2023,North America,USA,New York,Consumer Goods,Marketing,Cloud Infrastructure,Dedicated Cloud Compute,Mid-Market,Online Store,27964.84,9516.69,4984.65,1419.85,2175.45,2111.18,9932.47,35.52,25711.76,27964.84
TXN-10030,2023-01-03,January,Q1,2023,Asia Pacific,India,Mumbai,Digital Services,Operations,Hardware Systems,Network Switch 48P,Consumer,Direct Sales,71660.44,43077.46,9440.31,3611.52,5338.82,2311.2,13219.95,18.45,75080.98,71660.44
TXN-10031,2023-01-03,January,Q1,2023,Middle East & Africa,South Africa,Johannesburg,Financial Services,Customer Support,Hardware Systems,Server Rack X1,SMB,Reseller Network,44399.56,28342.17,7592.28,2878.88,6622.84,709.64,4876.59,10.98,40800.77,44399.56
TXN-10032,2023-01-03,January,Q1,2023,Latin America,Colombia,Bogota,Financial Services,Sales,Software Services,SaaS ERP License,Mid-Market,Partner Channel,28324.01,8224.75,5781.42,1886.71,359.55,2497.4,9933.73,35.07,28441.52,28324.01
TXN-10033,2023-01-04,January,Q1,2023,North America,USA,Chicago,Enterprise Solutions,Engineering,Electronics,4K Display Monitor,Mid-Market ,Partner Channel,10952.24,7686.45,2351.48,,1311.8,161.33,-135.75,-1.24,10035.52,10952.24
TXN-10034,2023-01-04,January,Q1,2023,North America,USA,Chicago,Consumer Goods,Customer Support,Electronics,Smart Hub Pro,SMB,Partner Channel,5285.93,3411.93,982.03,519.33,528.49,149.03,223.61,4.23,5755.45,5285.93
TXN-10035,2023-01-04,January,Q1,2023,Europe,Netherlands,Amsterdam,Consumer Goods,Operations,Software Services,SaaS ERP License,Enterprise,Reseller Network,12315.75,2716.08,2520.34,714.35,880.81,660.21,5704.77,46.32,12005.62,12315.75
